keys,uz,tr,en
"chr.emir_sharaf.name","Amir Sharafiddin","Emir Şerafeddin","Emir Sharafeddin"
"chr.mongol_katib.name","Mo'g'ul kotibi","Moğol Kâtibi","Mongol Scribe"
"chr.darugachi.name","Darug'achi","Daruğaçı","Darughachi"
"chr.kosta.name","Keksa Kosta","İhtiyar Kosta","Old Kosta"
"chr.ahi_evren.name","Axiy Evran","Ahi Evran","Ahi Evran"
"chr.abdurrahman.name","Abdurahmon G'oziy","Abdurrahman Gazi","Abdurrahman Gazi"
"cut.ep035_intro.01","Tuman ko'tarilyapti. Safdan ko'z uzmang, alplar.","Sis kalkıyor. Gözünüzü saftan ayırmayın, alplar.","The fog is lifting. Do not leave the line, alps."
"cut.ep035_intro.02","Ro'parada shunchami? Bu qo'shin emas, bir hovuch chang.","Karşıda bu kadar mı? Bu ordu değil, bir avuç toz.","Is that all of them? That is dust, not an army."
"cut.ep035_intro.03","Ular sanashni biladi. Bizni allaqachon sanab bo'lishgan.","Onlar saymayı bilir. Bizi çoktan saymışlar.","They know how to count. They have counted us already."
"cut.ep035_intro.04","Bek, buyruq yo'q. Oldinga yurishga ruxsat berilmadi.","Bey, emir yok. İleri yürümeye izin verilmedi.","Bey, no order has come. We are not to advance."
"cut.ep035_intro.05","Qochsalar quvamiz. G'alaba tuman ortida turibdi.","Kaçarlarsa kovalarız. Zafer sisin ardında bekliyor.","If they run, we chase. Victory waits behind that fog."
"cut.ep035_intro.06","Qochgan bo'ri emas, qochgan bo'lib ko'ringan bo'ri qo'rqinchli.","Kaçan kurt değil, kaçıyor görünen kurt korkunçtur.","Fear not the fleeing wolf, but the wolf feigning flight."
"cut.ep036_intro.01","Hunaring nima? Ayt va navbatni to'xtatma.","Zanaatın ne? Söyle ve sırayı bekletme.","What is your craft? Speak and keep the line moving."
"cut.ep036_intro.02","Odamning qadri qo'lidagi hunar bilan o'lchanmaydi.","Bir insanın kıymeti elindeki zanaatla ölçülmez.","A man's worth is not measured by his trade."
"cut.ep036_intro.03","Bu yerda o'lchanadi. Chapga hayot, o'ngga tuproq.","Burada ölçülür. Sola hayat, sağa toprak.","Here it is. Left means life, right means the ground."
"cut.ep036_intro.04","Men seni qidirdim, bek. Qo'lingdan tanidim.","Seni aradım, bey. Ve elinden tanıdım.","I searched for you, bey. I knew you by your hand."
"cut.ep036_intro.05","Qo'lni yashirdim, nomni emas. Nom yashirilmaydi.","Elimi sakladım, adımı değil. Ad saklanmaz.","I hid my hand, not my name. Names cannot hide."
"cut.ep036_intro.06","Ikkinchi mixni saqladim. Vaqti kelganda qoqaman.","İkinci çiviyi sakladım. Vakti gelince çakarım.","I kept the second nail. I will drive it later."
