keys,uz,tr,en
"ep.ep001.title","Och qarg'alar","Aç kargalar","Hungry Crows"
"ep.ep001.synopsis","Ocharchilik yozida obaning podasi qirilmoqda. Ertug'rul quruq daryo o'zanida uyg'onadi va o'limning sababini izlaydi.","Kıtlık yazında obanın sürüsü kırılıyor. Ertuğrul kuru dere yatağında uyanır ve ölümlerin sebebini arar.","In a summer of famine the tribe's flocks are dying. Ertugrul wakes in a dry riverbed and hunts for the cause."
"ep.ep001.intro","Qora ekran, faqat nafas ovozi; siz quruq o'zanda uyg'onasiz, atrofda o'lgan qo'ylar yotibdi.","Kara ekran, sadece nefes sesi; kuru dere yatağında uyanırsınız, çevrede ölü koyunlar yatıyor.","A black screen and only breathing; you wake in a dry riverbed among dead sheep."
"ep.ep001.cliffhanger","Quduqqa o'lik hayvon ataylab tashlangan: bu qurg'oqchilik emas, hujum. Ufqda oq plashli otliq turibdi.","Kuyuya ölü hayvan bilerek atılmış: bu kuraklık değil, saldırı. Ufukta beyaz pelerinli bir atlı duruyor.","A dead animal was thrown into the well on purpose: not drought, but attack. On the ridge waits a white-cloaked rider."
"ep.ep002.title","Ikki asir","İki esir","Two Captives"
"ep.ep002.synopsis","Ov paytida eshitilgan qichqiriq Ertug'rulni ikki yarador begona yoniga olib boradi. Ularni obaga olib borish - xavf.","Av sırasında duyulan çığlık Ertuğrul'u iki yaralı yabancıya götürür. Onları obaya götürmek büyük bir risktir.","A scream during the hunt leads Ertugrul to two wounded strangers. Carrying them home to camp is a risk."
"ep.ep002.intro","Kiyik izidasiz: bu tutorial emas, sabr sinovi - shovqin qilsangiz o'lja qochib ketadi.","Geyiğin izindesiniz: bu bir eğitim değil, sabır sınavı - ses çıkarırsanız av kaçar.","You stalk a deer: not a tutorial but a test of patience - make noise and the prey is gone."
"ep.ep002.cliffhanger","Begona ayolning bilagida shahzoda uzugi yaltiraydi. U oddiy qochqin emas ekan.","Yabancı kadının bileğinde bir şehzade yüzüğü parlar. O sıradan bir mülteci değil.","A prince's ring gleams on the strange woman's wrist. She is no ordinary refugee."
"ep.ep003.title","Oq plash","Beyaz pelerin","The White Cloak"
"ep.ep003.synopsis","Tush qonga aylanadi: tunda obaga hujum boshlanadi. Uch to'lqin, o'n ikki yollanma va birinchi qalqonli Templar.","Rüya kana döner: gece obaya saldırı başlar. Üç dalga, on iki paralı asker ve ilk kalkanlı Tapınakçı.","A dream turns to blood as the camp is attacked at night. Three waves, twelve mercenaries, the first Templar shield."
"ep.ep003.intro","Bolalik tushi: otangiz kamon uzatadi, ekran chetlari qonga botadi va siz hujum ostida uyg'onasiz.","Çocukluk rüyası: babanız yay uzatır, ekranın kenarları kana bulanır ve saldırı altında uyanırsınız.","A childhood dream: your father hands you a bow, the screen bleeds, and you wake under attack."
"ep.ep003.cliffhanger","O'layotgan Templar serjanti lotin tilida pichirlaydi: U biladi. Chol biladi. Kim haqida gapirdi?","Ölmekte olan Tapınakçı çavuşu Latince fısıldar: O biliyor. İhtiyar biliyor. Kimden söz etti?","A dying Templar sergeant whispers in Latin: He knows. The old man knows. But who does he mean?"
"ep.ep004.title","Otaning ismi","Babanın adı","The Father's Name"
"ep.ep004.synopsis","Kurultoyda janubga ko'chish hal bo'ladi. Lekin chuqurroq savol kutadi: otangiz Sulaymon Shohmi yoki Gunduz Alpmi?","Kurultayda güneye göç kararı verilir. Ama daha derin bir soru bekler: babanız Süleyman Şah mı, Gündüz Alp mi?","The council decides on the march south, but a deeper question waits: was your father Suleyman Shah or Gunduz Alp?"
"ep.ep004.intro","Oba kengashida jim o'tirasiz; gapirmaysiz, faqat qaraysiz - kim kimga qaraydi, o'shani eslab qoling.","Oba divanında sessizce oturursunuz; konuşmaz, sadece bakarsınız - kim kime bakıyor, aklınızda tutun.","You sit silent at the tribal council; you do not speak, you only watch who looks at whom."
"ep.ep004.cliffhanger","Kengash tarqagach Kurdo'g'lu tunda chodirdan chiqadi va qorong'ida kimgadir maktub uzatadi.","Divan dağılınca Kurdoğlu gece çadırdan çıkar ve karanlıkta birine bir mektup uzatır.","When the council breaks, Kurdoglu slips from his tent at night and hands a letter to someone in the dark."
"ep.ep005.title","Qorli dovon","Karlı geçit","The Snowbound Pass"
"ep.ep005.synopsis","To'rt yuz kishilik oba qishlovga ko'chadi. Uch kun, qorli dovon, bo'rilar va asosiy dushman - sovuq.","Dört yüz kişilik oba kışlağa göçer. Üç gün sürecek yol: karlı geçit, aç kurtlar ve asıl düşman soğuk.","Four hundred souls move to the winter pasture. Three days, a snowbound pass, wolves, and the true enemy: cold."
"ep.ep005.intro","Chodirni o'zingiz yig'asiz - tunluk halqasi, ug tayoqlari, kigiz - so'ng oba qorda yo'lga chiqadi.","Çadırı kendiniz toplarsınız - tünlük halkası, uk çubukları, keçe - sonra oba karda yola çıkar.","You strike the tent yourself - the smoke ring, the poles, the felt - then the camp sets out into the snow."
"ep.ep005.cliffhanger","Dovon oshilgach pastda Bagras qal'asi ko'rinadi. Turgut hushtak chaladi: Bunday tosh ko'rmagan edim.","Geçit aşılınca aşağıda Bağras kalesi görünür. Turgut ıslık çalar: Böyle bir taş görmemiştim.","Beyond the pass, Bagras castle appears below. Turgut whistles: I have never seen stone like that."
"ep.ep006.title","Sultan Han","Sultan Han","Sultan Han"
"ep.ep006.synopsis","Karvonsaroyda ikki yuz kishi uch kun bepul boshpana oladi. Ular orasida bitta Templar josusi bor - qonsiz toping.","Kervansarayda iki yüz kişi üç gün ücretsiz barınır. Aralarında bir Tapınakçı casusu var - onu kansız bulun.","Two hundred travelers shelter free for three days at the caravanserai. One is a Templar spy - find him without blood."
"ep.ep006.intro","Sultan Han darvozasidan zulmatdan yorug'likka kirasiz: ichkarida arman, yahudiy, venetsiyalik va forsiy.","Sultan Han'ın kapısından karanlıktan aydınlığa girersiniz: içeride Ermeni, Yahudi, Venedikli ve Fars var.","You step from darkness into light through the gate of Sultan Han: Armenians, Jews, Venetians, Persians inside."
"ep.ep006.cliffhanger","Josusning xatida yozilgan: Turkman itlari janubga kelyapti, Amanosni yopinglar. Imzo bitta harf: T.","Casusun mektubunda yazıyor: Türkmen köpekleri güneye geliyor, Amanos'u kapatın. İmza tek harf: T.","The spy's letter reads: The Turkmen dogs are coming south, close the Amanus. It is signed with one letter: T."
"ep.ep007.title","Halab: bola amir","Halep: çocuk emir","Aleppo: The Boy Emir"
"ep.ep007.synopsis","Halab bozorida markersiz yo'l topib saroyga kirasiz. Amir o'n besh yoshda, haqiqiy hokim esa uning atabegi.","Halep çarşısında işaretsiz yol bulup saraya girersiniz. Emir on beş yaşında, gerçek hükümdar ise atabeyi.","You find your own way through Aleppo's bazaar into the palace. The emir is fifteen; his atabeg truly rules."
"ep.ep007.intro","Halab tomida paydo bo'lasiz, pastda uch ming odam, yagona ko'rsatma: saroy shimolda.","Halep'in damında belirirsiniz, aşağıda üç bin kişi, tek yönlendirme: saray kuzeyde.","You appear on a rooftop over Aleppo, three thousand people below, one hint: the palace lies north."
"ep.ep007.cliffhanger","To'g'ril shart qo'yadi: Sizga yer beraman, lekin avval Amanosdagi oq plashlilardan bir narsa keltirasiz.","Tuğrul şart koşar: Size toprak veririm, ama önce Amanos'taki beyaz pelerinlilerden bir şey getireceksiniz.","Toghril sets his price: I will give you land, but first bring me something from the white cloaks of Amanus."
"ep.ep008.title","Sham yo'li: Ibn Arabiy","Şam yolu: İbn Arabî","The Damascus Road: Ibn Arabi"
"ep.ep008.synopsis","Damashqqa tuya karvoni bilan yo'l olasiz. Ibn Arabiy kutadi, lekin avval shahar maydonida dahshatni ko'rasiz.","Şam'a deve kervanıyla yol alırsınız. İbn Arabî bekler, ama önce şehir meydanında bir dehşete tanık olursunuz.","A camel caravan carries you to Damascus. Ibn Arabi awaits, but first the city square shows you a horror."
"ep.ep008.intro","Cho'lda tuya ustida chayqalasiz; ufqda Damashq minoralari asta-sekin ko'tariladi.","Çölde devenin üstünde sallanırsınız; ufukta Şam'ın minareleri yavaşça yükselir.","You sway on a camel across the desert as the minarets of Damascus rise on the horizon."
"ep.ep008.cliffhanger","Ibn Arabiy ogohlantiradi: Sen qaytasan va bir odam seni kutadi - u sendan ismingni oladi.","İbn Arabî uyarır: Geri döneceksin ve bir adam seni bekleyecek - senden adını alacak.","Ibn Arabi warns him: You will return, and a man will wait for you - he will take your name."
"ep.ep009.title","Kurdo'g'lu iplari","Kurdoğlu'nun iplikleri","Kurdoglu's Threads"
"ep.ep009.synopsis","Oba ichida xoinlar tarmog'i bor. Yetti gumondor, to'rt aybdor: tergov taxtasida dalillarni bir-biriga bog'lang.","Obanın içinde bir hain ağı var. Yedi şüpheli, dört suçlu: soruşturma tahtasında delilleri birbirine bağlayın.","A network of traitors hides inside the camp. Seven suspects, four guilty: link the evidence on the board."
"ep.ep009.intro","Obaga qaytasiz, lekin hech kim kutib olmaydi va chodirlar joyi o'zgargan - farqni o'zingiz topasiz.","Obaya dönersiniz ama kimse karşılamaz ve çadırların yeri değişmiş - farkı kendiniz bulacaksınız.","You return to camp, but no one greets you and the tents have moved - you must spot the difference yourself."
"ep.ep009.cliffhanger","Ertug'rul Kurdo'g'lu chodiridan topilgan uzun mixlardan birini oladi va cho'ntagiga soladi.","Ertuğrul, Kurdoğlu'nun çadırında bulunan uzun çivilerden birini alıp cebine koyar.","Ertugrul takes one of the long nails found in Kurdoglu's tent and slips it into his pocket."
"ep.ep010.title","O'rmondagi qon","Ormandaki kan","Blood in the Forest"
"ep.ep010.synopsis","Turgut pistirmaga tushadi. Arbaletchilar o'rmonni yopadi va siz uni saqlab qololmaysiz - bu hikoya talabi.","Turgut pusuya düşer. Arbaletçiler bütün ormanı kapatır ve onu kurtaramazsınız - bu, hikayenin gereğidir.","Turgut rides into an ambush. Crossbowmen seal the forest and you cannot save him - the story demands it."
"ep.ep010.intro","Birinchi marta Turgut ko'zi bilan o'ynaysiz: u kulib ot choptiradi, so'ng arbalet o'qi tegadi.","İlk kez Turgut'un gözünden oynarsınız: gülerek dörtnala gider, sonra bir arbalet oku isabet eder.","For the first time you play as Turgut: he gallops laughing, then a crossbow bolt finds him."
"ep.ep010.cliffhanger","Bagras darvozasi yopiladi. Ertug'rul uzoqdan qarab qoladi, do'sti esa devor ortida qolaveradi.","Bağras'ın kapısı kapanır. Ertuğrul uzaktan bakakalır, dostu ise surların ardında kalır.","The gate of Bagras closes. Ertugrul watches from afar while his friend stays behind the walls."
"ep.ep011.title","Suv yo'li","Su yolu","The Water Road"
"ep.ep011.synopsis","Bagras qal'asiga suv kanalidan suzib kirasiz. Yigirma ikki qorovul, bitta zindon va zanjirdagi Turgut.","Bağras kalesine su kanalından yüzerek girersiniz. Yirmi iki nöbetçi, bir zindan ve zincirdeki Turgut.","You swim into Bagras castle through its water channel. Twenty-two guards, one dungeon, and Turgut in chains."
