keys,uz,tr,en
GAME_TITLE,"Dirilish: Ertugrul","Dirilis: Ertugrul","Resurrection: Ertugrul"
UI_HONOR,"Sharaf","Seref","Honor"
UI_OPTIONAL,"ixtiyoriy","istege bagli","optional"
UI_SAVE,"Saqlash","Kaydet","Save"
UI_QUIT,"Chiqish","Cikis","Quit"
Q1_1_TITLE,"Kiyik ovi","Geyik avi","The Deer Hunt"
Q1_1_OBJ_LEAVE,"Obadan chiqib, alplar oldiga bor","Obadan cik, alplarin yanina git","Leave the camp and join the alps"
Q1_1_OBJ_HORSE,"Otni chaqir va min","Ati cagir ve bin","Call your horse and mount"
Q1_1_OBJ_TRACKS,"Kiyik izlarini top","Geyik izlerini bul","Find the deer tracks"
Q1_1_OBJ_BOW,"Dogon bilan kamon mashqi","Dogan ile yay talimi","Bow training with Dogan"
Q1_1_OBJ_CHASE,"Otda kiyikni quvib, otib tushir","Atla geyigi kovala ve vur","Chase and shoot the deer"
Q1_1_OBJ_LOAD,"Oljani otga yukla","Avi ata yukle","Load the prey onto your horse"
Q1_1_OBJ_WOLVES,"Borilarni kamon bilan sinab kor","Kurtlari yay ile dene","Test your bow on the wolves"
Q1_2_TITLE,"Ormondagi pistirma","Ormandaki pusu","Ambush in the Forest"
Q1_2_OBJ_REACH,"Qichqiriq eshitilgan joyga yet","Cigligin geldigi yere ulas","Reach the source of the screams"
Q1_2_OBJ_DISMOUNT,"Otdan tushib hujum qil","Attan inip saldir","Dismount and attack"
Q1_2_OBJ_PARRY,"Ritsar zarbasini parry qil","Sovalyenin darbesini savustur","Parry the knight's strike"
Q1_2_OBJ_DODGE,"Ogir zarbadan chetlan","Agir darbeden kacin","Dodge the heavy strike"
Q1_2_OBJ_BISOL,"Bisolni chekinishga majbur qil","Bisol'u geri cekilmeye zorla","Force Bisol to retreat"
Q1_2_OBJ_PROTECT,"Begonalarni himoya qil","Yabancilari koru","Protect the strangers"
Q1_3_TITLE,"Birinchi qon va qochish","Ilk kan ve kacis","First Blood and Flight"
Q1_3_OBJ_ESCORT,"Numonni obaga kuzatib bor","Numan'i obaya goturur","Escort Numan to the camp"
Q1_3_OBJ_CAMP,"Tunash uchun lager qur","Konaklamak icin kamp kur","Make camp for the night"
Q1_3_OBJ_HALIMA,"Halima bilan suhbatlash","Halime ile konus","Talk with Halime"
Q1_3_OBJ_WAVES,"Tungi hujumni qaytar","Gece saldirisini puskurt","Repel the night attack"
Q1_3_OBJ_FIRE,"Yonayotgan chodirni ochir","Yanan cadiri sondur","Extinguish the burning tent"
Q1_3_OBJ_ARRIVE,"Qayi obasiga yetib bor","Kayi obasina var","Arrive at the Kayi camp"
Q1_3_OBJ_COUNCIL,"Birinchi kengashda qatnash","Ilk kurultaya katil","Attend the first council"
Q2_1_TITLE,"Halabga sayohat","Halep'e yolculuk","Journey to Aleppo"
Q2_1_OBJ_RIDE,"Halabga ot bilan yet","Halep'e atla ulas","Ride to Aleppo"
Q2_1_OBJ_WEAPONS,"Darvozada qurolni topshir","Kapida silahini teslim et","Surrender your weapons at the gate"
Q2_1_OBJ_CROWD,"Olomon ichida taqibchilardan qutul","Kalabalikta takipcilerden kurtul","Lose your pursuers in the crowd"
Q2_1_OBJ_ROOFS,"Tomlar orqali yol top","Damlardan yol bul","Find a path across the rooftops"
Q2_1_OBJ_IBN_ARABI,"Ibn Arabiy bilan uchrash","Ibn Arabi ile bulus","Meet Ibn Arabi"
Q2_1_OBJ_PALACE,"Al-Aziz huzurida elchilik qil","El-Aziz huzurunda elcilik yap","Present your embassy to Al-Aziz"
Q2_1_OBJ_NASIR,"Nosir xonasidan xatni top","Nasir'in odasindan mektubu bul","Find the letter in Nasir's chamber"
Q2_1_OBJ_CARAVAN,"Talanayotgan karvonni qutqar","Yagmalanan kervani kurtar","Save the raided caravan"
Q2_2_TITLE,"Karvonsaroy tungi pistirmasi","Kervansarayda gece pususu","Night Ambush at the Caravanserai"
Q2_2_OBJ_WAKE,"Alplarni jimgina uygot","Alplari sessizce uyandir","Silently wake the alps"
Q2_2_OBJ_TORCHES,"Mashalalarni ochir","Mesaleleri sondur","Extinguish the torches"
Q2_2_OBJ_SILENT,"Templarlarni yashirin yoq qil","Templierleri sessizce yok et","Eliminate the Templars silently"
Q2_2_OBJ_ORDERS,"Alplarga joylashuv buyrugini ber","Alplara mevzi emri ver","Give your alps their positions"
Q2_2_OBJ_DUEL,"Bisol bilan duelga chiq","Bisol ile dueloya gir","Duel Bisol"
Q2_2_OBJ_FATE,"Bisol taqdirini hal qil","Bisol'un kaderini belirle","Decide Bisol's fate"
Q2_3_TITLE,"Xoinni fosh qilish","Haini ifsa etmek","Exposing the Traitor"
Q2_3_OBJ_EVIDENCE,"Tort dalilni topla","Dort delili topla","Gather the four pieces of evidence"
Q2_3_OBJ_TAIL,"Kurdoglini taqib qil","Kurdoglu'yu takip et","Tail Kurdoglu"
