"keys","uz","tr","en"
"chr.ertugrul.name","Ertug'rul Bey","Ertuğrul Bey","Ertugrul Bey"
"chr.turgut.name","Turgut Alp","Turgut Alp","Turgut Alp"
"chr.bamsi.name","Bamsi Bayrak","Bamsı Beyrek","Bamsi Beyrek"
"chr.dogan.name","Dog'on Alp","Doğan Alp","Dogan Alp"
"chr.suleyman_shah.name","Sulaymon Shoh","Süleyman Şah","Suleyman Shah"
"chr.hayme_ana.name","Hayma Ona","Hayme Ana","Hayme Ana"
"chr.halime.name","Halima Sulton","Halime Sultan","Halime Sultan"
"chr.kurdoglu.name","Kurdo'g'li","Kurdoğlu","Kurdoglu"
"chr.titus.name","Birodar Titus","Birader Titus","Brother Titus"
"chr.dundar.name","Dundor","Dündar","Dundar"
"chr.gundogdu.name","Gundo'g'di","Gündoğdu","Gundogdu"
"chr.selcan.name","Selchan Xotun","Selcan Hatun","Selcan Hatun"
"chr.deli_demir.name","Deli Demir","Deli Demir","Deli Demir"
"chr.aykiz.name","Oyqiz","Aykız","Aykiz"
"chr.noyan.name","No'yon","Noyan","Noyan"
"cut.ep001_intro.01","Uch kunda o'ttiz qo'y. Yer bizni yutib yubormoqchi.","Üç günde otuz koyun. Toprak bizi yutmak istiyor.","Thirty sheep in three days. The land wants to swallow us."
"cut.ep001_intro.02","Chodirlar ustida tutun yo'q. Oba nafas olmayapti, Turgut.","Çadırların üstünde duman yok. Oba nefes almıyor Turgut.","No smoke above the tents. The camp is not breathing, Turgut."
"cut.ep001_intro.03","Beyim, quduq suvi qora. Cho'ponlar yaqinlashishga qo'rqishyapti.","Beyim, kuyunun suyu kara. Çobanlar yaklaşmaya korkuyor.","My bey, the well runs black. The shepherds fear to approach."
"cut.ep001_intro.04","Quruq yil qo'yni o'ldiradi, lekin suvni qoraytirmaydi.","Kurak yıl koyunu öldürür ama suyu karartmaz.","A dry year kills sheep, but it does not blacken water."
"cut.ep001_intro.05","Nima demoqchisiz? Kimdir quduqqa qo'l urganmi, deysizmi?","Ne demek istiyorsun? Biri kuyuya mı dokundu diyorsun?","What are you saying? That someone has touched the well?"
"cut.ep001_intro.06","Ot minamiz. Quduqni o'z ko'zim bilan ko'rmagunimcha, obaga hech narsa demaymiz.","Ata bineriz. Kuyuyu kendi gözümle görmeden obaya bir şey söylemeyiz.","We ride. Until I see that well myself, the camp hears nothing."
"cut.ep002_intro.01","Iz yangi. Kiyik sekin yuribdi, oyog'i og'riyapti.","İz taze. Geyik ağır yürümüş, ayağı acıyor.","The track is fresh. The deer walks slowly; its leg hurts."
"cut.ep002_intro.02","Shamol yuzimizga uryapti, beyim. U bizni hidlay olmaydi.","Rüzgâr yüzümüze vuruyor beyim. Bizi koklayamaz.","The wind is in our faces, bey. It cannot smell us."
"cut.ep002_intro.03","Kamonni tortma. Sabr ovchining eng o'tkir o'qidir.","Yayı germe. Sabır, avcının en keskin okudur.","Do not draw yet. Patience is the hunter's sharpest arrow."
"cut.ep002_intro.04","Sabr och qorinni to'ydirmaydi, Dog'on! Qozon bo'sh turibdi.","Sabır aç karnı doyurmaz Doğan! Kazan boş duruyor.","Patience will not fill an empty belly, Dogan! The cauldron stands empty."
"cut.ep002_intro.05","Jim! Bu kiyik emas. Daraxtlar orasidan odam qichqirdi.","Sus! Bu geyik değil. Ağaçların ardından bir insan bağırdı.","Quiet! That was no deer. A man cried out among the trees."
"cut.ep002_intro.06","Ikki ovoz bor, beyim. Biri ayol, va u yolg'iz emas.","İki ses var beyim. Biri kadın ve yalnız değil.","Two voices, bey. One is a woman, and she is not alone."
"cut.ep003_intro.01","Chodirlar yonyapti! Ayollar va bolalarni jarlikka olib chiqinglar!","Çadırlar yanıyor! Kadınları ve çocukları dereye çıkarın!","The tents are burning! Get the women and children to the ravine!"
"cut.ep003_intro.02","Ular o'g'ri emas, beyim. Hech narsa olishmadi, faqat yoqishdi.","Bunlar hırsız değil beyim. Hiçbir şey almadılar, sadece yaktılar.","These are no thieves, bey. They took nothing; they only burned."
"cut.ep003_intro.03","Beyim, devor ustiga qarang. Uning kaftlari mixlangan.","Beyim, duvarın üstüne bakın. Avuçları mıhlanmış.","My bey, look at the wall. His palms have been nailed."
