keys,uz,tr,en
ui.game_title,"DIRILISH: ERTUG'RUL","DİRİLİŞ: ERTUĞRUL","RESURRECTION: ERTUGRUL"
ui.game_subtitle,"So'nggi yurish (1227-1261)","Son Yürüyüş (1227-1261)","The Last March (1227-1261)"
ui.splash.press_any,"Davom etish uchun istalgan tugmani bosing","Devam etmek için herhangi bir tuşa basın","Press any key to continue"
ui.lang.select_title,"Tilni tanlang","Dil seçin","Select language"
ui.lang.hint,"Yuqori / Quyi - tanlash, Enter - tasdiqlash","Yukarı / Aşağı - seçim, Enter - onayla","Up / Down - choose, Enter - confirm"
ui.menu.new_game,"Yangi o'yin","Yeni oyun","New game"
ui.menu.continue,"Davom etish","Devam et","Continue"
ui.menu.episodes,"Epizodlar","Bölümler","Episodes"
ui.menu.settings,"Sozlamalar","Ayarlar","Settings"
ui.menu.controls,"Boshqaruv","Kontroller","Controls"
ui.menu.credits,"Mualliflar","Emeği geçenler","Credits"
ui.menu.quit,"Chiqish","Çıkış","Quit"
ui.menu.resume,"Davom ettirish","Oyuna dön","Resume"
ui.menu.back_to_menu,"Bosh menyuga","Ana menüye","Back to menu"
ui.pause.title,"PAUZA","DURAKLATILDI","PAUSED"
ui.episodes.title,"Epizodlar","Bölümler","Episodes"
ui.episodes.season,"Mavsum","Sezon","Season"
ui.episodes.tier,"Daraja","Zorluk","Tier"
ui.episodes.minutes,"daqiqa","dakika","min"
ui.episodes.locked,"Yopiq","Kilitli","Locked"
ui.episodes.year,"Yil","Yıl","Year"
ui.episodes.archetype,"Turi","Tür","Type"
ui.episodes.start,"Boshlash","Başlat","Start"
ui.episodes.hint,"Yuqori / Quyi - epizod, Chap / O'ng - mavsum, Enter - boshlash, Esc - orqaga","Yukarı / Aşağı - bölüm, Sol / Sağ - sezon, Enter - başlat, Esc - geri","Up / Down - episode, Left / Right - season, Enter - start, Esc - back"
ui.episodes.synopsis,"Qisqacha mazmuni","Özet","Synopsis"
ui.episodes.region,"Mintaqa","Bölge","Region"
ui.episodes.empty,"Epizodlar topilmadi","Bölüm bulunamadı","No episodes found"
ui.episodes.completed,"Tugallangan","Tamamlandı","Completed"
ui.episodes.next,"Keyingi epizod","Sonraki bölüm","Next episode"
ui.settings.title,"Sozlamalar","Ayarlar","Settings"
ui.settings.language,"Til","Dil","Language"
ui.settings.master,"Umumiy ovoz","Ana ses","Master volume"
ui.settings.music,"Musiqa","Müzik","Music"
ui.settings.sfx,"Ovoz effektlari","Ses efektleri","Sound effects"
ui.settings.voice,"Nutq ovozi","Seslendirme","Voice"
ui.settings.subtitles,"Subtitrlar","Altyazılar","Subtitles"
ui.settings.fullscreen,"To'liq ekran","Tam ekran","Fullscreen"
ui.settings.quality,"Grafika sifati","Görüntü kalitesi","Graphics quality"
ui.settings.fps,"FPS ko'rsatkichi","FPS göstergesi","FPS counter"
ui.settings.back,"Orqaga","Geri","Back"
ui.common.on,"Yoqilgan","Açık","On"
ui.common.off,"O'chirilgan","Kapalı","Off"
ui.common.low,"Past","Düşük","Low"
ui.common.medium,"O'rta","Orta","Medium"
ui.common.high,"Yuqori","Yüksek","High"
ui.common.back,"Orqaga","Geri","Back"
ui.common.yes,"Ha","Evet","Yes"
ui.common.no,"Yo'q","Hayır","No"
ui.common.select,"Tanlash","Seç","Select"
ui.common.cancel,"Bekor qilish","İptal","Cancel"
ui.controls.title,"Boshqaruv","Kontroller","Controls"
ui.controls.move,"Harakatlanish","Hareket","Move"
ui.controls.look,"Atrofga qarash","Bakış","Look around"
ui.controls.run,"Yugurish","Koşma","Run"
ui.controls.crouch,"Cho'kkalash","Eğilme","Crouch"
ui.controls.interact,"Foydalanish","Etkileşim","Interact"
ui.controls.attack,"Hujum","Saldırı","Attack"
ui.controls.skip,"Sahnani tashlab ketish","Sahneyi atla","Skip scene"
ui.controls.pause,"Pauza","Duraklat","Pause"
ui.controls.menu_nav,"Menyuda harakat","Menüde gezinme","Menu navigation"
ui.controls.hint,"Orqaga qaytish uchun Esc tugmasini bosing","Geri dönmek için Esc tuşuna basın","Press Esc to go back"
ui.credits.title,"Mualliflar","Emeği geçenler","Credits"
ui.credits.body,"DIRILISH: ERTUG'RUL\n\nHikoya: 4 mavsum, 48 epizod (1227-1261)\nDvigatel: Win32 + OpenGL\nTarixiy manbalar asosida ishlangan\n\nBarcha huquqlar himoyalangan.","DİRİLİŞ: ERTUĞRUL\n\nHikaye: 4 sezon, 48 bölüm (1227-1261)\nMotor: Win32 + OpenGL\nTarihi kaynaklara dayanmaktadır\n\nTüm hakları saklıdır.","RESURRECTION: ERTUGRUL\n\nStory: 4 seasons, 48 episodes (1227-1261)\nEngine: Win32 + OpenGL\nBased on historical sources\n\nAll rights reserved."
ui.loading,"Yuklanmoqda...","Yükleniyor...","Loading..."
ui.loading.hint,"Iltimos, biroz kuting","Lütfen bekleyin","Please wait"
ui.cutscene.skip_hint,"Esc - sahnani tashlab ketish","Esc - sahneyi atla","Esc - skip scene"
ui.cutscene.advance_hint,"Bo'sh joy - davom etish","Boşluk - devam et","Space - continue"
ui.hud.objective,"Vazifa","Görev","Objective"
ui.hud.episode,"Epizod","Bölüm","Episode"
ui.hud.free_roam,"Erkin yurish","Serbest dolaşım","Free roam"
ui.season.s1,"SARHAD","SERHAT","THE FRONTIER"
ui.season.s2,"SULTON SOYASI","SULTANIN GÖLGESİ","SHADOW OF THE SULTAN"
ui.season.s3,"QORA BULUT","KARA BULUT","THE BLACK CLOUD"
